fish,treatment,tissue,ash,total nitrogen,crude protein,crude fat,P,K,Ca,Mg,Zn,Cu,Mn,Fe,S,Na
101,COND,wf,15.6,10.38,64.875,15.91,27758.4,13711.1,44413.8,1980.3,84.418,7.474,43.535,87.036,7793.5,7318.18
102,COND,wf,16.3,10.72,67,12.4,25870.6,12532,40782.4,1704.3,67.162,2.986,32.22,39.314,6862.4,7081.06
103,COND,wf,16.4,10.61,66.3125,9.17,26560.4,13124.6,43876.4,1722.8,67.776,2.904,30.455,43.769,7562.7,6542.53
104,COND,wf,14.2,9.61,60.0625,31.04,21405.1,11067.5,36637,1469,59.294,1.896,36.487,34.303,6448.5,6034.76
105,COND,wf,14.1,9.3,58.125,20.92,20152,10697.8,35129.7,1449.2,60.904,2.079,34.557,36.771,6399.3,6080.57
1,FSHSQ,wf,19.2,12.35,77.1875,3.38,27112.6,12889.5,44244.2,1582.9,46.656,1.493,8.752,36.296,9745.7,5454.87
2,FSHSQ,wf,17,12.01,75.0625,7.05,28859,13513.8,43731.8,1668.8,50.054,1.833,8.294,86.166,10018.8,5624.32
3,FSHSQ,wf,17.7,11.73,73.3125,5.5,26850.6,12254.3,41950.4,1553,48.691,1.707,11.605,38.076,9094.7,5192.63
4,FSHSQ,wf,17.1,12.18,76.125,5.13,29534.4,14359,44638.5,1801.4,48.227,1.771,10.245,41.649,10525,5735.6
5,FSHSQ,wf,21,12.39,77.4375,2.6,35445.1,14646.6,58770,2014.1,50.921,1.87,16.682,52.835,11156.4,7373.44
6,FSH,wf,17.8,12.58,78.625,4.16,30869.8,14903.4,47493.6,1859.5,47.029,1.551,7.414,44.55,9396.1,6030.78
7,FSH,wf,19.2,12.04,75.25,2.97,32337.2,15162.6,48399.6,1904.7,48.405,1.66,9.975,46.528,9645.5,6531.46
8,FSH,wf,17.8,12.02,75.125,5.85,29333.1,13339.2,45488,1745.5,49.254,2.625,9.35,46.189,8470.8,5486.65
9,FSH,wf,17.1,11.79,73.6875,6.54,30010.6,13778.2,45883.9,1774.4,50.52,1.809,9.867,44.507,8975.2,5914.13
10,FSH,wf,18.8,12.24,76.5,4.33,31343.2,14278.8,48114.4,1829.3,49.495,1.381,10.623,54.761,8819.6,6005.87
11,FSQ,wf,17.8,11.82,73.875,7.45,27122,12701.4,44556.8,1671.1,45.37,1.54,8.546,42.145,9898.4,5594.17
12,FSQ,wf,16.8,11.64,72.75,9.66,26545.9,12996.9,41212.9,1606.4,45.984,1.909,5.083,33.584,9638.1,5159.43
13,FSQ,wf,18,12.09,75.5625,3.89,29217,13219.9,44846.9,1695.1,47.911,1.77,7.884,44.147,10057.5,5734.04
14,FSQ,wf,17.7,10.8,67.5,2.51,26259.4,12118.4,40352.1,1578.3,47.489,1.508,8.055,30.961,8959.5,5041
15,FSQ,wf,18,12.51,78.1875,3.98,31954.9,13740.8,48611.4,1809.8,52.531,1.971,5.961,48.494,10290.5,6146.69
16,SHSQ,wf,18,11.61,72.5625,4.88,28665.5,13623,45491.9,1798.5,56.312,2.742,16.218,41.554,10686.7,6212.94
17,SHSQ,wf,20.4,12.22,76.375,1.2,33674.8,14251.6,53125.8,1938.4,59.158,0.877,20.846,48.695,10624.7,7065.89
18,SHSQ,wf,20,12.48,78,1.84,34232.5,15040.4,52876.9,1949.7,58.936,1.498,15.744,36.014,11123.8,7275.24
19,SHSQ,wf,18.3,12.03,75.1875,4.56,31134.5,14850.6,51127.5,1882.4,58.101,1.143,13.387,38.519,11204.3,7111.77
20,SHSQ,wf,18.9,12.21,76.3125,2.21,30914.4,14491.8,49210.6,1752.3,59.456,1.133,14.238,39.092,11037.8,6186.69
21,F,wf,16.7,11.67,72.9375,6.96,29693.9,13269.7,44410.1,1656.2,51.446,2.902,8.325,39.534,9086.1,5873.89
22,F,wf,18.2,11.93,74.5625,3.63,28555,13057,45173.7,1522.8,46.375,1.729,4.427,38.663,8666.3,4999.8
23,F,wf,17.7,12.28,76.75,4.49,29555.6,13771.2,45236.5,1633.1,49.736,2.366,5.928,40.877,9324.6,5986.92
24,F,wf,16.6,12.02,75.125,2.73,27910.6,12812.6,44342.5,1613.3,47.319,2.443,5.66,38.712,8589.4,5200.48
25,F,wf,15.5,11.26,70.375,13.81,27770.7,12671.5,43012.5,1544.7,48.641,2.674,4.584,42.472,8792.9,4999.75
26,SH,wf,19.1,12.22,76.375,2.93,28363,12207.1,45545.3,1636.9,46.413,1.537,12.902,33.364,7501.7,5330.74
27,SH,wf,18.4,12.14,75.875,4.91,34286.1,14839.2,52757.5,1956.9,53.625,1.478,19.413,41.246,8560.8,6621.83
28,SH,wf,19.4,12.28,76.75,1.96,33282.7,14645.5,52853.1,1941.9,52.865,1.097,15.533,36.386,8573.1,6544.26
29,SH,wf,18.8,12.31,76.9375,2.63,29466.3,13771.8,45458.6,1777.5,52.948,1.007,14.475,36.779,7887,6092.06
30,SH,wf,19.2,12.47,77.9375,1.48,29709.8,13703.4,47499.3,1745.8,53.219,0.73,13.786,52.033,8516.2,6118.92
31,SQ,wf,17.9,11.8,73.75,4.43,26467.8,12597.2,44864.4,1589.7,58.163,1.199,11.964,35.247,10110.1,6346.89
32,SQ,wf,17.2,11.91,74.4375,5.27,22633,11040.7,38155,1314.7,40.986,1.14,6.027,25.456,8813.9,4892.45
33,SQ,wf,18.7,12,75,2.39,27355.7,12946.6,44800.1,1628.2,57.692,1.027,11.485,43.832,10597.6,6309.72
34,SQ,wf,19.8,11.97,74.8125,2.45,31081.2,12868.5,51284.9,1724.6,53.612,1.273,17.748,41.255,10801.3,6511.87
35,SQ,wf,16.4,11.86,74.125,8.09,26324.6,13325.2,44536.5,1576.4,53.158,0.593,10.314,29.514,10579,5817.74
36,PELL,wf,15.5,10.84,67.75,13.86,26946.1,12475.4,45068.3,1447.4,50.543,1.956,39.879,27.254,6475.3,5558.54
37,PELL,wf,17.2,10.65,66.5625,13.82,30901.7,12685.8,49289.1,1575.8,55.964,2.631,36.405,39.161,6570.5,5269.24
38,PELL,wf,12.5,10.58,66.125,13.69,19822.1,11447.9,32219.8,1242.8,43.593,1.354,24.268,23.588,5939.5,4479.52
39,PELL,wf,14.5,11.38,71.125,12.1,23466.1,12320.6,40761.3,1387.3,46.915,1.745,28.871,32.156,6486.7,5624.04
